Key,Timestamp
<103>,2022-08-20 09:42:21.102606
<104>,2022-08-20 09:42:21.400976
<105>,2022-08-20 09:42:21.654685
<98>,2022-08-20 09:42:22.392443
'n',2022-08-20 09:42:23.093367
'i',2022-08-20 09:42:23.279183
Key.esc,2022-08-20 09:42:24.992051
